dork,url
inurl:index.php?id= site:com,http://www.can-cia.com/index.php?id=canopen
inurl:index.php?id= site:com,https://www.winterandwinter.com/index.php?id=12
inurl:index.php?id= site:com,https://www.laboshop.com/index.php?id=5&L=1
inurl:index.php?id= site:com,http://www.etceteratheatre.com/index.php?id=2
inurl:index.php?id= site:com,http://www.rationalrecovery.com/index.php?id=59
inurl:index.php?id= site:com,https://psp-tsp.issicommercial.com/index.php?id=115
inurl:index.php?id= site:com,http://healthcarebelgium.com/index.php?id=uzleuven
inurl:index.php?id= site:com,https://www.ftechopen.com/gca/index.php?id=935
inurl:index.php?id= site:com,https://psp-tsp.issicommercial.com/index.php?id=115
inurl:index.php?id= site:com,http://www.ko4bb.com/getsimple/index.php?id=manuals
inurl:index.php?id= site:com,http://healthcarebelgium.com/index.php?id=uzleuven
inurl:index.php?id= site:com,https://www.ftechopen.com/gca/index.php?id=935
inurl:index.php?id= site:com,https://www.plagiarius.com/index.php?ID=3&SETSPRACHE=2
inurl:index.php?id= site:com,http://www.sneaindia.com/index.php?id=15
inurl:index.php?id= site:com,http://dotpanel.com/tl.php?p=2vr/rs/rs/rt/vg/rt//http%3A%2F%2Fwww.le-math.eu%2Findex.php%3Fid%3D14
inurl:index.php?id= site:com,http://www.satausa.com/index.php?id=home&no_cache=1&L=11
inurl:index.php?id= site:com,https://iebmedia.com/index.php?id=4749&parentid=63&themeid=255&showdetail=true
inurl:index.php?id= site:com,https://www.xigmanas.com/index.php?id=6
inurl:index.php?id= site:com,https://czech-transport.com/index.php?id=38
inurl:index.php?id= site:com,https://mooc-culturels.fondationorange.com/enrol/synopsis/index.php?id=61
inurl:index.php?id= site:com,http://icumsa.bartens.com/index.php?id=834
inurl:index.php?id= site:com,https://www.teufelberger.com/index.php?id=1263
inurl:index.php?id= site:com,https://www.firsticbank.com/index.php?id=en&info=Privacy%20Info.4
inurl:index.php?id= site:com,https://www.20khvylyn.com/go/?www.migration.gov.rw/index.php?id=203
inurl:index.php?id= site:com,http://www.wallas.com/index.php?id=53
inurl:index.php?id= site:com,http://www.ceres-cert.com/portal/index.php?id=224
inurl:index.php?id= site:com,https://urbanmushrooms.com/index.php?id=5
inurl:index.php?id= site:com,https://jakajan.com/sys/vos/index.php?id=vote07&eid=2
inurl:index.php?id= site:com,https://m365.eu.vadesecure.com/safeproxy/v3?f=vbd9rlMnH2DNB7yTP4lKVmLWkoJFdOwzGG-FYW13Gp2fYU98bqG2SeFeAGeggQ0n&i=XThD9kkjhMQyWtYvRWXF7foykLyiYN5Jc5X_4WI8YL-lhwwB54zAkpQnPc2h6_8LM-hgXs0CL0YkkOzxkxnJMw&k=Fhbu&r=U_dlzQo8uZMED2BOwfqS1uvD8iuLhTYFQhRT1HpwIEsZfkmNn56KWiT6hmw81UF0&u=https%3A%2F%2Fwww.oie.int%2Findex.php%3Fid%3D169%26L%3D0%26htmfile%3Dchapitre_communication.htm
inurl:index.php?id= site:com,http://emarketingllc.com.staging.frii.com/id/mollusc/index.php
inurl:index.php?id= site:com,http://www.thienantech.com/?http://www.icdcprague.org/index.php?id=https://xexx.pro/watch-jhony-sins-and-nicolet-shea-1.html/
inurl:index.php?id= site:com,https://www.yaesu.com/jp/en/wires-x/regist/index.php
inurl:index.php?id= site:com,https://mecfilm.com/index.php?id=3512
inurl:index.php?id= site:com,http://www.prehistoricplanet.com/news/index.php?id=48
inurl:index.php?id= site:com,http://www.acutronic.com/index.php?id=148&prodid=55&cHash=1
inurl:index.php?id= site:com,https://swissport.com/index.php?id=4&level=country&continentId=1&countryId=97
inurl:index.php?id= site:com,http://www.smbc-comics.com/index.php?id=2832
inurl:index.php?id= site:com,https://help.mywconline.com/index.php?id=46&sid=416
inurl:index.php?id= site:com,https://swissport.com/index.php?id=4&level=country&continentId=1&countryId=97
inurl:index.php?id= site:com,http://www.smbc-comics.com/index.php?id=2832
inurl:index.php?id= site:com,https://help.mywconline.com/index.php?id=46&sid=416
inurl:index.php?id= site:com,http://www.ehcknobs.com/index.php?id=TM
inurl:index.php?id= site:com,https://www.arabtrvl.com/vb/redirect-to/?redirect=http%3A%2F%2Fwww.triberg.de%2Findex.php%3Fid%3D150
inurl:index.php?id= site:com,http://www.discoverylaunch.com/index.php?id=1000
inurl:index.php?id= site:com,https://www.opcalia.com/index.php?id=61
inurl:index.php?id= site:com,https://www.becker-international.com/index.php?id=1&lang=901
inurl:index.php?id= site:com,https://www.cps-cidpc.com/index.php?id=66
inurl:index.php?id= site:com,http://www.greenlighttoys.com/index.php?id=182
inurl:index.php?id= site:com,https://www.smbc-comics.com/index.php?id=4130
inurl:index.php?id= site:com,http://www.azumanosato.com/index.php?id=22
inurl:index.php?id= site:com,https://softwarearea.saltosystems.com/usuarios/index.php?id=en
inurl:index.php?id= site:com,http://frenchjournalformediaresearch.com/lodel-1.0/main/index.php?id=1449
inurl:index.php?id= site:com,http://www.lorillard.com/index.php?id=5
inurl:index.php?id= site:com,http://www.laudaair.com/site/index.php?id=281&L=1
inurl:index.php?id= site:com,http://www.kb-vt.com/index.php?id=290
inurl:index.php?id= site:com,https://www.clientam.com/en/index.php?f=1560&p=fax
inurl:index.php?id= site:com,http://www.mytalktools.com/dnn/LinkClick.aspx?link=http%3A%2F%2Faackids.psu.edu%2Findex.php%2Fpage%2Fshow%2Fid%2F1&tabid=132&portalid=0&mid=562
inurl:index.php?id= site:com,http://www.satacanada.com/index.php?id=cd&L=15
inurl:index.php?id= site:com,https://www.ionos.com/terms-gtc/index.php?id=6
inurl:index.php?id= site:com,http://www.springfieldcityhall.com/index.php?id=covid
inurl:index.php?id= site:com,http://www.taanilinna.com/index.php?id=325
inurl:index.php?id= site:com,https://www.indianz.com/m.asp?url=https://www.gaming.ny.gov/gaming/index.php?ID=1
inurl:index.php?id= site:com,https://www.springfieldcityhall.com/housing/index.php?id=66
